q_num,q_type,prompt,question,choice_a,choice_b,choice_c,choice_d,choice_e,correct_a
81,LP,"A film club will present exactly one feature film each week for exactly eight consecutive weeks, 1 through 8. Each week, the feature film presented will be one of exactly five films: Landing, Milner, Octagon, Prestige, or Quibble. Each film is presented at least once. The following conditions apply: Octagon is not presented until sometime after the second presentation of Quibble. Prestige is presented in any week immediately subsequent to a week in which Landing is presented. Milner is presented in week 5. Octagon is presented exactly twice.","If Landing is not presented any time after Milner is presented, then each of the following could be a partial and accurate list of films with the weeks in which they are presented EXCEPT:",Landing: week 2; Prestige: week 4; Octagon: week 8,Prestige: week 1; Quibble: week 2; Quibble: week 6,Landing: week 3; Octagon: week 6; Quibble: week 8,Quibble: week 4; Octagon: week 6; Prestige: week 8,Milner: week 1; Octagon: week 7; Quibble: week 8,choice_e
82,LP,"A film club will present exactly one feature film each week for exactly eight consecutive weeks, 1 through 8. Each week, the feature film presented will be one of exactly five films: Landing, Milner, Octagon, Prestige, or Quibble. Each film is presented at least once. The following conditions apply: Octagon is not presented until sometime after the second presentation of Quibble. Prestige is presented in any week immediately subsequent to a week in which Landing is presented. Milner is presented in week 5. Octagon is presented exactly twice.","If Milner is presented exactly twice and no film is scheduled for consecutive weeks, how many possible schedules of films are there?",two,three,four,five,six,choice_b
83,LP,"The Trippy Trips Travel Agency is offering a promotion through which a traveler can pay a fixed fee to visit exactly six cities. The traveler can choose from three Italian cities— Florence, Genoa, and Latina—three Spanish cities—Madrid, Oviedo, and Pamplona—and four United States Cities—Reno, San Francisco, Tampa, and Washington DC. When selecting six cities to visit, the traveler must choose according to the following restrictions: More Spanish cities than Italian cities must be selected. Reno and Washington DC cannot both be selected. Genoa and Madrid cannot both be selected. If San Francisco is selected, then both Pamplona and Genoa must be selected.",Which one of the following could be a complete and accurate list of cities selected?,"Genoa, Oviedo, Pamplona, San Francisco, Tampa, Washington DC","Latina, Madrid, Pamplona, Reno, Tampa, Washington DC","Latina, Madrid, Pamplona, Reno, San Francisco, Tampa","Florence, Latina, Madrid, Oviedo, Tampa, Washington DC","Genoa, Latina, Madrid, Oviedo, Pamplona, Tampa",choice_a
84,LP,"The Trippy Trips Travel Agency is offering a promotion through which a traveler can pay a fixed fee to visit exactly six cities. The traveler can choose from three Italian cities— Florence, Genoa, and Latina—three Spanish cities—Madrid, Oviedo, and Pamplona—and four United States Cities—Reno, San Francisco, Tampa, and Washington DC. When selecting six cities to visit, the traveler must choose according to the following restrictions: More Spanish cities than Italian cities must be selected. Reno and Washington DC cannot both be selected. Genoa and Madrid cannot both be selected. If San Francisco is selected, then both Pamplona and Genoa must be selected.","If exactly three cities from the United States are selected, then each of the following must be true EXCEPT:",Exactly one city from Italy is selected.,Exactly two cities from Spain are selected.,Oviedo is selected.,San Francisco is selected.,Latina is selected.,choice_e
85,LP,"The Trippy Trips Travel Agency is offering a promotion through which a traveler can pay a fixed fee to visit exactly six cities. The traveler can choose from three Italian cities— Florence, Genoa, and Latina—three Spanish cities—Madrid, Oviedo, and Pamplona—and four United States Cities—Reno, San Francisco, Tampa, and Washington DC. When selecting six cities to visit, the traveler must choose according to the following restrictions: More Spanish cities than Italian cities must be selected. Reno and Washington DC cannot both be selected. Genoa and Madrid cannot both be selected. If San Francisco is selected, then both Pamplona and Genoa must be selected.",Which one of the following represents a pair of cities that CANNOT both be selected?,Oviedo and Reno,Pamplona and Washington DC,Florence and San Francisco,Genoa and Reno,Madrid and Pamplona,choice_c
86,LP,"The Trippy Trips Travel Agency is offering a promotion through which a traveler can pay a fixed fee to visit exactly six cities. The traveler can choose from three Italian cities— Florence, Genoa, and Latina—three Spanish cities—Madrid, Oviedo, and Pamplona—and four United States Cities—Reno, San Francisco, Tampa, and Washington DC. When selecting six cities to visit, the traveler must choose according to the following restrictions: More Spanish cities than Italian cities must be selected. Reno and Washington DC cannot both be selected. Genoa and Madrid cannot both be selected. If San Francisco is selected, then both Pamplona and Genoa must be selected.","If Genoa is selected, how many different possible groups of six cities could be selected?",one,two,three,four,five,choice_b
87,LP,"The Trippy Trips Travel Agency is offering a promotion through which a traveler can pay a fixed fee to visit exactly six cities. The traveler can choose from three Italian cities— Florence, Genoa, and Latina—three Spanish cities—Madrid, Oviedo, and Pamplona—and four United States Cities—Reno, San Francisco, Tampa, and Washington DC. When selecting six cities to visit, the traveler must choose according to the following restrictions: More Spanish cities than Italian cities must be selected. Reno and Washington DC cannot both be selected. Genoa and Madrid cannot both be selected. If San Francisco is selected, then both Pamplona and Genoa must be selected.",Which one of the following must be false?,Neither Florence nor Washington DC is selected.,Neither Latina nor Reno is selected.,Exactly one United States city is selected.,No Italian cities are selected.,All three Spanish cities are selected.,choice_d
88,LP,"Seven students—K, L, M, N, O, P, and R—give presentations, one at a time and in order. The following conditions apply: N presents before L. M presents after O. P presents after L but before M. R presents before K but after N. K presents after P.",Which of the following could represent the order in which students give presentations?,"N, L, P, R, K, M, O","L, N, R, O, P, K, M","O, N, L, R, P, M, K","O, N, L, M, P, R, K","O, N, L, R, K, P, M",choice_c
89,LP,"Seven students—K, L, M, N, O, P, and R—give presentations, one at a time and in order. The following conditions apply: N presents before L. M presents after O. P presents after L but before M. R presents before K but after N. K presents after P.",Which of the following could be true?,P presents before N.,M presents before N.,K presents before N.,M presents before R.,M presents before L.,choice_d
90,LP,"Seven students—K, L, M, N, O, P, and R—give presentations, one at a time and in order. The following conditions apply: N presents before L. M presents after O. P presents after L but before M. R presents before K but after N. K presents after P.",Which of the following must be false?,K presents fifth.,P presents fourth.,M presents last.,N presents third.,R presents sixth.,choice_d
91,LP,"Seven students—K, L, M, N, O, P, and R—give presentations, one at a time and in order. The following conditions apply: N presents before L. M presents after O. P presents after L but before M. R presents before K but after N. K presents after P.","If O presents second, each of the following must be true EXCEPT",L presents third or fourth.,P presents fourth or fifth.,N presents first.,M presents sixth or seventh.,K presents sixth or seventh.,choice_d
92,LR,"Columnist: An information design expert has argued that using the popular presentation-graphics software GIAPS, with its autopresentation wizard and simplistic premade templates, leads people to develop ineffective presentations. But that is absurd. GIAPS is just a tool, so it cannot be responsible for bad presentations. The responsibility must lie with those who use the tool poorly. ",The columnist’s argument is most vulnerable to criticism on the grounds that it,bases its conclusion on claims that are inconsistent with each other,takes for granted that any presentation that is not ineffective is a good presentation,bases an endorsement of a product entirely on that product’s popularity,fails to consider that a tool might not effectively perform its intended function,rejects a claim because of its source rather than its content ,choice_a
93,LR,"Editorial: The legislature is considering allowing oil drilling in the Cape Simmons Nature Preserve. Supporters claim that, because modern drilling methods will be used, there will be no damage to the environment. However, that claim is easily disproven by looking at nearby Alphin Bay, where oil drilling began five years ago. The land there is marred by industrial sprawl, drilling platforms, and thousands of miles of roads and pipelines.","Which one of the following, if true, most strengthens the argument in the editorial?",The Cape Simmons Nature Preserve is one of the few areas of pristine wilderness in the region.,The companies drilling for oil at Alphin Bay never claimed that drilling there would not cause any environmental damage.,The editorialist believes that oil drilling should not be allowed in a nature preserve unless it would cause no environmental damage.,There have been no significant changes in oil drilling methods in the last five years.,Oil drilling is only one of several industrial activities that takes place at Alphin Bay.,choice_e
94,LR,"James: Community colleges, by their very nature, work to meet the educational needs of the communities they are in. The same is not true of universities, whose primary goals differ from those of community colleges. Margaret: A primary goal of any university is to serve the needs of the community where it is located. The main reason people have for attending a university is the same as that for attending a community college: preparing oneself for a career. ",James’s and Margaret’s statements provide the most support for the claim that they disagree over the truth of which one of the following? ,A primary goal of any university is to serve the educational needs of its community.,Most universities adequately serve the educational needs of the communities in which they are located.,The main reason people have for attending a university is to prepare themselves for a career.,"In a typical community, the primary educational need is to prepare community residents for careers.",The main reason people have for attending a university is the same as the main reason people have for attending a community college.,choice_c
95,LR,"Most people who have taken a seminar for building organizational skills in the workplace have indeed become more organized as a result; however, despite having become more organized, few have become any more efficient. ","Which one of the following, if true, would most help to resolve the apparent discrepancy described above?",Some of the people who are most efficient in the workplace are not among the most organized.,Most people whose organizational skills in the workplace are below average do not take seminars for building organizational skills in the workplace.,Most seminars for building organizational skills in the workplace are designed for people who have been selected for management training.,Most people who have taken a seminar for building organizational skills in the workplace have below-average organizational skills before they enroll in the seminar.,Most people who have taken a seminar for building organizational skills in the workplace consequently expend a great amount of time organizing their activities.,choice_b
96,LR,"Problem: The Thimble Corporation recently distributed rebate coupons for one of its products. Some of the coupons bore an expiration date that was too early. This created an unfair situation in which some customers believed, incorrectly, that the rebate offer had already expired. Principle: Anyone who creates an unfair situation has an obligation to rectify any unfair result of that situation. ","The principle, if valid, most helps to justify which one of the following judgments concerning the problem? ","If a customer believed that the expiration date had passed but applied for the rebate anyway, the Thimble Corporation is not obligated to give a rebate to that customer.","Because some customers who knew that they were eligible for the rebate chose not to apply for it, the Thimble Corporation is not solely responsible for creating the unfair situation.","If there is a chance that any customers did not apply for the rebate because of an incorrect expiration date on their rebate coupon, the Thimble Corporation is obligated to try to identify them and offer them the rebate.","Because it cannot identify all of the customers who were adversely affected by the incorrect expiration date, the Thimble Corporation should deny the rebate to all of the customers who applied for it.","If a customer did not rely on an incorrect expiration date when applying for the rebate but was denied the rebate for any other reason, the Thimble Corporation is not obligated to offer that customer the rebate. ",choice_a
97,LR,"Critic: The recent biography of Shakespeare does not explain what is of most interest about him. It is by an expert on the history of Elizabethan England, and so does a good job of showing what life would have been like for Shakespeare as a man of that time. But it does not explain what made Shakespeare different from his contemporaries. ",The conclusion of the argument can be properly drawn if which one of the following is assumed? ,There is no way to know what made Shakespeare different from his contemporaries.,The life of the average man in Elizabethan England is uninteresting.,Shakespeare was very different from the other men of his time.,A biography should always focus on what makes its subject distinctive.,What is most interesting about Shakespeare is what made him different from his contemporaries.,choice_e
98,LR,"The result of attempting to whip cream in a blender is a thick, velvety substance rather than fluffy whipped cream. This is because a blender’s container does not let in enough air to whip cream effectively. Although using a special whipping-cream attachment in a blender can help somewhat, it cannot fully compensate for the container’s poor air intake. ","If all of the statements above are true, which one of the following must be true?","Cream that has been whipped ineffectively generally becomes a thick, velvety substance rather than fluffy whipped cream.",The use of a special whipping-cream attachment in a blender does not suffice to whip cream completely effectively.,"When attempting to whip cream in a blender, using a special whipping-cream attachment always produces a fluffier result than could be obtained without using such an attachment.",The use of a special whipping-cream attachment in a blender can reduce the total amount of air required to whip cream effectively in that blender.,"The use of a blender, with or without any special attachments, is not the most common way to attempt to produce whipped cream.",choice_e
99,LR,"Astronomer: Proponents of the hypothesis that life evolved extraterrestrially and drifted here in spores point out that, 3.8 billion years ago, Earth was bombarded by meteorites that would have destroyed any life already here. Yet 3.5 billion years ago, Earth had life forms complex enough to leave fossil remains. Such life could not have evolved here in the 0.3 billion years following the meteorite bombardments, they claim. There is good reason to regard their hypothesis as false, however, for they merely offer empirical arguments against the view that life evolved on Earth; neither they nor anyone else has provided positive support for the extraterrestrial-spore theory of the origin of terrestrial life. ",The reasoning in the astronomer’s argument is flawed because the argument,"concludes, simply because there is no evidence in favor of a hypothesis, that there is evidence against that hypothesis",fails to justify its claim that the view being criticized is inherently implausible,reasons that a hypothesis is false simply because there is another hypothesis that is equally likely to be true,attempts to derive a conclusion from premises that contradict it,grants the truth of claims that are made by the advocates of the hypothesis but that do nothing to strengthen the astronomer’s own argument,choice_c
100,LR,"Advertisement: VIVVY, a video-based foreign language course for children, was introduced seventeen years ago. Amy, Matt, and Evelyn were among the first children to use VIVVY. Now they are successful university students. So if your child uses VIVVY, you can expect him or her to become a successful university student. ",Which one of the following demonstrates most effectively by parallel reasoning that the argument in the advertisement is flawed?,"Similarly, you could conclude that you can expect to win the lottery if you carry a good- luck charm. After all, Annie, Francisco, and Sean carry good-luck charms, and these three people are lottery winners.","Similarly, you could conclude that Jesse should not expect to get food poisoning. After all, Jesse, Doris, and Christine all attended the company picnic, and only Christine has gotten food poisoning as a result.","Similarly, you could conclude that Eric, Diane, and Martin are the only employees who will be laid off. After all, any employee hired within the last year can expect to be laid off, and these three employees are the only ones who were hired within the last year.","Similarly, you could conclude that Ken, Norma, and Mary routinely drive faster than the speed limit. After all, if you routinely exceed the speed limit, you can expect to get a speeding ticket eventually, and these three people have gotten speeding tickets.","Similarly, you could conclude that Jack, Stephen, and Tina can expect to get jobs after they complete their university education. After all, these three people attend Perry University, and most people who graduated from Perry last year found jobs.",choice_c
101,LR,"Activist: Accidents at the Three Mile Island and Chernobyl nuclear plants have shown the dangers of nuclear power. It was earlier argued that nuclear power was necessary because fossil fuels will eventually run out. Recently, however, a technology has been developed for deriving from sewage sludge an oil that can be used to generate power. This new technology, therefore, together with the possibility of using alternative sources of energy like solar, wind, and hydroelectric power, raises the hope that we can dispense altogether with nuclear power and that we can meet our energy needs in a way that better protects the environment from harm than we do at present. ",Which one of the following considerations is LEAST relevant in evaluating the degree of practicability of the hope expressed by the activist above? ,whether the current methods of disposing of sewage sludge by dumping do environmental damage,whether the processes that are used to turn sewage into clean water and sewage sludge have been improved in recent decades,whether the cost of producing and using oil from sewage sludge would be economically sustainable,"whether the burning of oil from sewage sludge would, in contrast to nuclear power production, produce gases that would have a harmful warming effect on climate worldwide",whether waste products that would be produced in deriving oil from sewage sludge and burning it would be as dangerous as those produced by the mining and use of nuclear fuel,choice_d
102,LR,"In a study of tropical forests it was found that while the species of trees that is most common in a particular forest also reproduces the most, trees of the species that is rarest there tend to survive longer. This pattern holds regardless of which species of trees is the most common and which is the rarest. ","Which one of the following, if true, most helps to explain why trees of the rarest species tend to survive longer than trees of the most common species? ",The species of trees that is most common in a forest thrives there because it is best suited to the local climate.,Older trees tend to reproduce the least.,The study tracked preexisting tree species but did not introduce any new species to the tropical forests.,The survival of the trees of the rarer species enables tropical forests to recover more easily from moderate destruction.,The trees of the common species have more competition for the resources they need than do the trees of the rare species.,choice_e
103,LR,"The television network’s advertisement for its new medical drama grossly misrepresents what that program is like. Thus, it will not as effectively attract the sort of viewers likely to continue watching the program as would the advertisement that the program’s producers favored; people who tune in to the first episode based on false expectations will be unlikely to watch subsequent episodes. ",The argument relies on which one of the following assumptions?,Most viewers who tune in to the first episode of the program will do so because of the network’s advertisement for the program.,The advertisement that the program’s producers favored would not have grossly misrepresented what the program would be like.,Most people who tune in to the first episode of the program and become loyal viewers will not have tuned in to the first episode as a result of the network’s advertisement for the program.,"If the advertisement that the program’s producers favored were used instead of the network’s advertisement, almost all of the viewers who tuned in to the first episode would tune in to subsequent episodes as well.",Most people who become loyal viewers of a program do not miss the program’s first episode.,choice_d
104,LR,"Sharon heard her favorite novelist speak out against a political candidate that Sharon has supported for years. As a result, Sharon’s estimation of the novelist declined but her estimation of the candidate did not change.",The situation described above conforms most closely to which one of the following principles,Artists who speak out on political matters will have influence only among their most dedicated fans.,A political statement from an artist should be considered only if the artist has established a reputation for being an honest and knowledgeable observer of politics.,Artists should limit their public political statements to issues that are somehow related to the arts., Someone who hears testimony that contradicts a long-standing opinion will generally entertain doubts about the source of the testimony rather than the correctness of the opinion.,People are far less likely to renounce an allegiance that they have had for many years than to renounce an allegiance that is new to them.,choice_d
105,LR,"Advertisement: In a carefully controlled study, blindfolded volunteers were divided evenly into five groups. Each volunteer tasted Sparkle Cola and one of five competing colas, each group tasting a different cola. Most of the volunteers said they preferred Sparkle Cola to the competing cola tasted. This shows that Sparkle Cola elicits a more favorable response from consumers than any of the competing colas tested. ",The reasoning in the advertisement is most vulnerable to criticism on which one of the following grounds? ,It overlooks the possibility that a generalization true of the entire group of volunteers was not true of each of the five smaller groups.,"It takes for granted that most of the volunteers would buy Sparkle Cola rather than one of the other colas tasted, at least in situations where Sparkle Cola is not much more expensive.",It overlooks the possibility that some cola not tested in the study would have elicited a more favorable response than Sparkle Cola.,"It overlooks the possibility that many people may prefer Sparkle Cola to competing colas for reasons such as the packaging or price of Sparkle Cola, rather than its taste.",It is based on a study that does not elicit consumers’ responses to any beverages other than colas.,choice_b
106,LR,"Evidently, watching too much television can lead people to overestimate the risks that the world poses to them. A recent study found that people are more likely to think that they will be victims of a natural disaster if they watch an above-average amount of television than if they do not. ","Which one of the following, if true, most weakens the reasoning above?","Many people overestimate the dangers that the world poses to them, regardless of the amount of television they watch.",A person is less likely to live in an area that is prone to natural disasters if that person watches an above-average amount of television than if that person watches a below-average amount of television.,People who watch a below-average amount of television tend to have a fairly accurate idea of the likelihood that they will be victims of a natural disaster.,People who are well informed about the risks posed by natural disasters tend to have become well informed in some way other than by watching television.,A person is more likely to watch an above- average amount of television if that person lives in an area that is prone to natural disasters than if that person lives in an area that is not.,choice_c
107,LR,"Several years ago, most of one country's large banks failed and were taken over by a government agency. The agency is now selling these banks, aiming to strengthen the banking system in the process. But the banking system will not be strengthened if the former owners of these banks buy them back. So the agency is unlikely to achieve its goal, since ______.",The conclusion of the argument can be properly drawn if which one of the following completes the passage?,the agency may be unable to sell some of the banks,a single company could buy more than one of the banks,the country's overall economy is not much stronger than it was when the large banks failed,the banks sold by the agency will be financially weaker than the country's other banks for some time,all of the bidders for the banks are their former owners,choice_e
108,LR,"Accountant: The newspaper industry habitually cites the rising cost of newsprint to explain falling profits. But when corrected for inflation, the cost of newsprint is no more than it was ten years ago. Far from being victims fo high costs, newspapers have been benefitting from cheap newsprint for decades. The real threats to their profitability are falling circulation and falling advertising.",The accountant's argument proceeds by,reinterpreting a popular analogy in order to use that analogy to support an alternative conclusion,using economic data to raise doubts about the current effectiveness of a historically accepted approach,criticizing a newly developed method by demonstrating that a conventional method shows better results,challenging an explanation that has been given for a phenomenon in order to introduce a different explanation,calling into question a justification for a practice by showing how the same justification can be used to support a clearly undesirable practice,choice_d
109,LR,"Peter: Recent evidence suggests that moderate alcohol consumption has certain beneficial effects on health. In particular, alcohol creates an inhospitable environment in the human body for certain bacteria that can cause illness. Thus, alcohol consumption is, on balance, beneficial.",Which one of the following most accurately expresses a flaw in the reasoning in Peter's argument?,It takes for granted that people choose to consume alcohol because they believe it is beneficial to their health.,It draws a comparison based on popular belief rather than on scientific opinion.,It fails to consider metods of achieving the same beneficial effects that do not involve alcohol.,It draws a conclusion about alcohol in general from a premise about moderate alcohol consumption.,It fails to consider that alcohol may have no effect on many bacteria that cause illness in human beings.,choice_d
110,LR,"Consultant: Children taught using innovative new educational methods learn to think more creatively than children taught using rote methods such as drills, but they are less adept at memorizing large amounts of information. Most jobs at Grodex Corporation require the ability to think creatively but do not require a strong ability to memorize. So Grodex should probably conduct its employee-training seminars using the innovative methods, because _____.",Which one of the following most logically completes the consultant's arguement?,most of the employees at Grodex began in high school to learn the creative thinking skills that they later used on the job,corporations that conduct training seminars for employees using innovative educational methods are generally more successful than are corporations that do not conduct training seminars,less than half of the employees at Grodex regularly attend the company's training seminars,the effects of teaching methods in the education of adults are generally very similar to the effects of those methods in the education of children,knowing how to think creatively helps people to compensate for deficiencies in memorization skills,choice_d
111,LR,"Essayist: If Earth's population continues to grow geometrically, then in a few centuries there will be ten people for every square meter (approximately one person per square foot) of Earth's surface. Some people have claimed that this will probably not be a problem, since humans will have learned by then how to colonize other planets. This would, however, be a temporary solution at best: if the population continues to double every 30 years, and if in the year 2500 half of Earth's population emigrated to Mars, then by the year 2530 Earth would be just as crowded as it had been before the emigration.",Which one of the following most accurately expresses the conclusion drawn in the essayist's argument?,"If Earth's population continues to grow geometrically, then in a few centuries the population density of Earth's surface will be ten people per square meter.","Due to the continuing geometric growth of Earth's population, the problem of overpopulation of Earth will probably prsist.","If Earth's population continues to double every 30 years, and if at some point half of the population of Earth emigrated elsewhere, then after 30 years Earth would be just as crowded as it had been before the emigration.","The population of Earth's surface will probably continue to grow geometrically even if temporary solutions to population growth, such as colonizing other plants, are adopted.","Learning how to colonize other planets would, at best, be a temporary solution to the overcrowding of Earth.",choice_e
112,LR,"A recent taste test reveals that most people like low-fat chocolate ice cream as much as its full-fat counterpart. Previous taste tests with vanilla ice cream found that people tended to dislike low-fat version, complaining of a harsher taste. Chemists point out that chocolate is a very complex flavor, requiring around 500 distinct chemical compounds to produce it. However, this complexity probably makes any difference in taste due to a lack of fat.","Which of the following, if true, most strengthens the argument?",Most people prefer full-fat chocolate ice cream to full-fat vanilla ice cream.,The subjects of the previous tests were not informed of the difference in fat content.,"The more distinct compounds required to produce a flavor, the better people like it.",Vanilla is known to be a significantly less complex flavor than chocolate.,Most peopl are aware of the chemical complexities of different flavors.,choice_d
113,LR,"Ethicist: Robert Gilette has argued that because a thorough knowledge of genetics would enable us to cure the over 3,000 inherited disorders that affect humanit, deciphering hte human genetic code will certainly benefit humanity despite its enormous cost. Gilette's argument is not persuasive, however, because he fails to consider that such knowledge might ultimately harm human beings more than it would benefit them.",Which one of the following most accurately expresses the conclusion of the ethicist's argument?,Gilette's argument wrongly assumes that deciphering the genetic code will lead to cures for genetic disorders.,Deciphering the genetic code might ultimately harm human beings more than benefit them.,"Because of its possible negative consequences, genetic research should not be conducted.","Gilette's claim that a thorough knowledge of genetics would enable us to cure over 3,000 disorders is overstated.",Gilette's argument is unconvincing because it ignores certain possible consequences of genetic research.,choice_e
114,LR,"Records from 1850 to 1900 show that in a certain region, babies' birth weights each year varied with the success of the previous year's crops: the more successful the crops, the higher the birth weights. This indicates that the health of a newborn depends to  alarge extent on the amount of food available to the mother during her pregnancy.",The argument proceeds by ,inferring from a claimed correlation between two phenomena that two other phenomena are causally connected to one another,inferring from the claim that two phenomena have fluctuated together that one of those phenomena must be the sole cause of the other,inferring from recodds concerning a past correlation between two phenomena that a correlation still exists,inferring from records concerning two phenomena the existence of a common cause of the phenomena and then presenting a hypothesis about that common cause,inferring the existince of one causal connection from that of another and then providing an explanation of the existence of the two causal connections,choice_a
115,LR,"Vincent: No scientific discipline can study something that cannot be measured, and since happiness is an entirely subjective experience, it cannot be measured. Yolanda: Just as optometry relies on patients' reports of what they see, happiness research relies on subjects' reports of how they feel. Surely optometry is a scientific discipline.",Vincent's and Yolanda's statements provide the most support for concluding that they disagree over which of the following?,Happiness is an entirely subjective experience.,Optometry is a scientific discipline.,A scientific discipline can rely on subjective reports.,Happiness research is as much a scientific discipline as optometry is.,Experiences that cannot be measured are entirely subjective experiences.,chocie_c
116,LR,"Although large cities are generally more polluted than the countryside, increasing urbanization may actually reduce the total amount of pollution generated nationwide. Residents of large cities usually rely more on mass transportation and live in smaller, more energy-efficient dwellings than do people in rural areas. Thus, a given number of people will produce less pollution if concentrated in a large city than if dispersed among many small towns.",Which one of the following mos taccurately describes the role played in the argument by the claim that increasing urbanization may actually reduce the total amount of pollution generated nationwide?,It is used to support the conclusion that people should live in large cities.,It is a statement offered to call into question the cliam that large cities are generally more polluted thatn the countyrside.,It is a statement serving merely to introduce the topic to be addressed in the argument and plays no logical role.,It is a premise offered in support of the conclusion that large cities are generally more polluted than the countryside.,It is a claim that the rest of the argument is designed to establish.,choice_e
117,LR,"Climatologist: Over the coming century, winter temperatures are likely to increase in the Rocky Mountains due to global warming. This will cause a greater proportion of precipitation to fall as rain instead of snow. Therefore, the mountain snowpack will probably melt more rapidly and earlier in the season, leading to greater spring flooding and less storable water to meet summer demands.","Which one of the following, if true, most strengthens the climatologist's argument?",Global warming will probably cause a substantial increase in the average omount of annual precipitation in the Rocky Mountains over the coming century.,"In other mountainous regions after relatively mild winters, the melting of snowpacks has led to greated spring flooding and less storable water, on average, than those in mountainous regions after colder winters.","On average, in areas of the Rocky Mountains in which winters are relatively mild, there is less storable water to meet summer demands htan there is in areas of the Rocky Mountains that experience colder winters. ","On average, in the regions of the world with the mildest winters, there is more spring flooding and less storable water than in regions of the world with much colder winters.","The larger a mountain snowpack is, the greater the amount of spring flooding it is likely to be responsible for producing.",choice_b
118,LR,"Animal feed should not include genetically modified plants. A study found that laboratory rats feed genetically moditfied potatoes for 30 days tended to develop intestinal deformities and a weakened immune system, whereas rats fed on a normal diet of foods that were not genetically modified did not develop these problems.","Which one of the following, if true, most weakens the argument?",Potatoes are not normally a part of the diet of laboratory rats.,The rats tended to eat more of the genetically modified potatoes at the beginning of the 30 days that they did towards the end of the 30 days.,Intestinal deformities at birth are not uncommon among rats bred in laboratory conditions.,Genetically modified potateos have the same nutritional value to rats as do potatoes that are not genetically modified.,The researchers conducting the study were unable to explain how the genetic modificatoins of the potatioes would have caused the intestinal deformities or a weakened immune system in rats.,choice_a
119,LR,"Some phillosophers explain visual perception by suggesting that when we visually perceive an object, a mental image of that object forms in our mind. However, this hypotheses cannot be correct, since it would require an inner self visulaly perceiving the newly formed mental image; this owuld in turn require that the inner self have a mental image of that mental image, and so on. But such an infinite regress is absurd.",Which of the following arguments is most similar in its pattern of reasoning to the argument above?,"According to some linguists, many of the world's languages can be traced back to a common source known as Indo-European. However, Indo-European cannot be the earliest language, for if it were, then there would be no language from which it was derived. But this is hgihly unlikely, given the overwhelming evidence that humans spoke long before the advent of Indo-European.","The claim that any scientific theory is adequate as long as it agrees with all the empirical data cnanot be correct. For there are an infinite number of theories all of which account equally well for the empirical data, and they cannot all be true at the same time.","Some historians claim that no theory is ever genuinely new; no matter how clever a theory is, there is always a precedent theory that contains its gist. But if this were true, then every theory would have a precedent theory containing its gist, and this precedent tehory would also have a precedent theory, and so on, without end. Since this is clearly impossible, the historians' claim must be false.","Some engineers define a structure's foundation as that part of the structure that supports the rest of the structure. This definition is unfortunate, however, because it evokes the suggestion that the foundation itself does not have any support, which, of course, is absurd.","Some people claim that the first library was the library of Alexandria, which for many centuries contained the largest collection of books in the world. However, Alexandria's collection was itself put together from smaller collections, small libraries in themselves. It follows that the library of Alexandria was not the first in the world.",choice_c
120,LR,"Greatly exceeding the recommended daily intake of vitamins A and D is dangerous, for they can be toxic at high levels. For some vitamin-fortified foods, each serving, as defined by the manufacturer, has 100 percent of the recommended daily intake of these vitamins. But many people overestimate what counts as a standard serving of vitamin-fortified foods such as cereal, consuming consuming two to three times what the manufacturers define as standard servings.",Which one of the following is most strongly supported by the information above?,Few people who consume vitamin-fortified foods are aware of the recommended daily intake of vitamins A and D.,Some people who consume vitamin-fortified foods exceed the recomended daily intake of vitamins A and D.,Some people mistakenly believe it is healthy to consume more than the recommended daily intake of vitamins A and D.,Most people who eat vitamin-fortified foods should not take any vitamin supplements.,Manufacturers are unaware that many people consume viatmin-fortified foods in amounts greater than standard serving sizes.,choice_b
121,LR,At the end of 1997 several nations stated that their oil reserves had not changed since the end of 1996. But oil reserves gradually drop as old oil fields are drained and rise suddenly as new oil fields are discovered. Therefore oil reserves are unlikely to remain unchanged from one year to the next. So most of the nations stating that their oil reserves were unchanged are probably incorrect.,Which one of the following is an assumption the argument requires?,"For any nation with oil reserves, it is more likely that the nation was mistaken its statements about changes in its oil reserves than that the nation's oil reserves remain unchanged.","It is likely that in 1997, in most of the nations that stated that their oil reserves were unchanged, old oil fields were drained or new oil fields were discovered, or both.","During the course of 1997, the oil reserves of at least one nation not only gradually dropped but also rose suddenly.","If a nation incorrectly stated at the end of 1997 that its oil reserves had not changed since the end of 1996, then during 1997 that nation drained its old oil fields and discovered new ones.","If a nation's oil reserves change fro one year to the next, then that nation is obligated to report the change correctly.",choice_b
122,LR,"If a motor is sound-insulated, then it is quiet enough to use in home appliances. If a motor is quiet enough to use in home appliances, then it can be used in institutional settings. None of the motors manufactures by EM Industries are quiet enough to use in home appliances.","If the statements above are true, which one of the following must be true.","If a motor can be used in institutional settings, then it is sound-insulated.",None of the motors manufactured by EM industires are sound-insulated. ,At least some of the motors manufactured by EM Industries can be used in institutional settings.,"If a motor is quiet enough to use in home appliances, then it is sound-insulated.",None of the motors manufactured by EM Industries can be used in institutional settings.,choice_b
